ID de respuesta,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19
83601178,20,1,1,0,1,2,5,0,2,0,1,0,2,0,0,14.44,4,0,2.75
83601470,19,2,1,0,0,2,5,1,1,1,1,0,2,0,0,14.15,4,0,2.58
83601790,21,2,1,1,1,1,2,0,2,0,1,0,2,0,0,16.50,2,1,3.42
83602191,19,1,1,1,1,2,5,1,2,0,1,0,3,0,0,14.77,5,0,3.08
83604537,19,1,1,1,1,2,5,0,2,0,0,0,1,0,0,15.00,3,0,2.83
83605939,19,2,1,1,1,2,5,0,2,1,1,1,1,1,1,14.90,4,1,3.42
83611030,20,1,1,1,1,2,3,0,2,1,0,0,3,1,0,12.91,5,0,3.25
83611527,19,1,0,1,1,2,5,0,2,1,1,1,1,1,0,14.60,4,1,4.08
83668420,18,1,1,1,1,3,4,0,2,1,0,1,1,0,0,15.00,4,0,2.42
83670544,18,1,1,1,1,3,4,1,2,0,1,1,3,1,1,14.66,4,1,2.67
83671947,24,1,1,0,0,1,5,0,2,0,0,1,3,1,0,13.00,4,0,2.83
83673060,19,2,1,0,0,3,4,1,2,1,1,0,1,1,0,18.76,1,0,2.75
83673251,18,2,0,1,1,2,5,0,2,0,1,0,2,0,0,13.20,5,0,3.33
83673731,18,2,1,1,1,3,3,0,2,1,1,0,2,0,1,14.00,5,0,3.17
83673804,18,2,0,0,1,3,4,0,2,0,0,1,3,1,0,14.33,3,0,3.17
83674096,22,1,1,1,1,1,5,1,1,1,0,0,1,0,0,14.92,2,0,3.25
83675445,19,2,1,1,1,2,5,1,2,1,1,1,3,1,0,16.80,2,0,3.25
83675483,20,1,0,1,1,1,5,1,1,1,1,0,1,0,0,16.47,2,1,3.42
83675537,18,1,1,1,1,3,4,0,2,0,1,1,3,0,1,15.00,5,1,2.83
83675588,18,2,1,1,0,3,3,1,1,1,1,1,2,0,0,18.33,2,1,3.42
83675761,19,1,1,1,0,2,5,1,2,0,0,0,2,0,0,15.88,3,0,2.83
83675779,20,1,1,1,1,2,5,1,1,0,1,0,1,0,0,16.00,4,1,3.42
83675868,18,2,0,1,0,3,5,1,1,0,0,0,1,0,0,5.00,2,0,3.33
83676031,20,1,0,1,1,2,1,1,2,1,1,1,2,0,0,18.62,1,1,3.75
83676166,19,2,0,1,1,2,5,1,1,0,1,1,3,1,0,16.50,3,1,3.17
83676813,20,2,1,1,0,1,5,1,2,1,0,0,2,0,0,16.50,2,1,2.75
83677335,18,2,1,1,0,3,5,1,2,1,0,1,3,1,0,16.95,1,1,3.58
